Ledge;Date;Time;PairNr;Individual;Event;ArrNoFish;FishType;FishSize;DroppedFish;Comments
Farallon_3;2021-06-17;15:00:00;1;F1;Start;;;;;has a CHICK
Farallon_3;2021-06-17;15:00:00;2;F1;Start;;;;;1
Farallon_3;2021-06-17;15:00:00;3;F1;Start;;;;;pair 4 lost egg
Farallon_3;2021-06-17;15:00:00;6;F1;Start;;;;;
Farallon_3;2021-06-17;15:00:00;7;F1;Start;;;;;7 to the right
Farallon_3;2021-06-17;15:29:56;3;F2;Arrival;x;;;;
Farallon_3;2021-06-17;15:34:15;3;F2;Departure;;;;;
Farallon_3;2021-06-17;15:55:22;3;F2;Arrival;x;;;;
Farallon_3;2021-06-17;16:02:24;3;F2;Takeover;;;;;
Farallon_3;2021-06-17;16:05:01;3;F1;Departure;;;;;
Farallon_3;2021-06-17;16:19:45;6;F2;Arrival;x;;;;
Farallon_3;2021-06-17;16:38:09;6;F2;Takeover;;;;;fast takeover ov the egg, too close to edge??
Farallon_3;2021-06-17;16:38:49;6;F1;Departure;;;;;
Farallon_3;2021-06-17;17:30:59;1;F2;Arrival;;Clup;2;;
Farallon_3;2021-06-17;17:31:15;1;F2;Takeover;;;;;
Farallon_3;2021-06-17;17:32:57;1;F1;Takeover;;;;;
Farallon_3;2021-06-17;18:09:32;1;F2;Departure;;;;;
;;;;;;;;;;
