Ledge;Date;Time;PairNr;Individual;Event;ArrNoFish;FishType;FishSize;DroppedFish;Comments
Triangle_3;2021-07-01;15:00:00;2;F1;Start;;;;;chick
Triangle_3;2021-07-01;15:00:00;3;F1;Start;;;;;chick
Triangle_3;2021-07-01;16:46:17;2;F2;Arrival;;Clup;3;;
Triangle_3;2021-07-01;16:58:51;2;F2;Takeover;;;;;
Triangle_3;2021-07-01;16:59:41;2;F1;Departure;;;;;got scared by something
Triangle_3;2021-07-01;17:10:59;2;F1;Arrival;x;;;;
Triangle_3;2021-07-01;17:26:53;2;F1;Takeover;;;;;17:14:58 trying to steal neighbours fish
Triangle_3;2021-07-01;17:27:08;3;F2;Arrival;;Clup;3;;17:16:58 got a small piece that it gave to the chick
Triangle_3;2021-07-01;17:27:50;3;F2;Departure;;;;;
Triangle_3;2021-07-01;17:28:50;2;F2;Takeover;;;;;
Triangle_3;2021-07-01;17:33:16;2;F1;Takeover;;;;;
Triangle_3;2021-07-01;17:34:03;2;F2;Takeover;;;;;17:37:15 grabbing foot 
Triangle_3;2021-07-01;17:38:38;2;F1;Departure;;;;;
Triangle_3;2021-07-01;18:32:53;3;F2;Arrival;;Clup;3;;
Triangle_3;2021-07-01;18:34:02;3;F2;Takeover;;;;;
Triangle_3;2021-07-01;18:40:44;3;F1;Takeover;;;;;
Triangle_3;2021-07-01;18:42:20;3;F2;Takeover;;;;;
Triangle_3;2021-07-01;18:43:18;3;F1;Departure;;;;;
Triangle_3;2021-07-01;18:55:38;3;F1;Arrival;x;;;;
Triangle_3;2021-07-01;18:56:25;3;F1;Departure;;;;;
Triangle_3;2021-07-01;19:09:41;3;F1;Arrival;;Clup;3;;
Triangle_3;2021-07-01;19:11:36;3;F1;Departure;;;;;
;;;;;;;;;;
