Ledge;Date;Time;PairNr;Individual;Event;ArrNoFish;FishType;FishSize;DroppedFish;Comments
Farallon_3;2021-06-15;15:00:00;1;F1;Start;;;;;number 1 to the left
Farallon_3;2021-06-15;15:00:00;2;F1;Start;;;;;
Farallon_3;2021-06-15;15:00:00;3;F1;Start;;;;;pair 4 lost egg
Farallon_3;2021-06-15;15:00:00;6;F1;Start;;;;;
Farallon_3;2021-06-15;15:00:00;7;F1;Start;;;;;7 to the right
Farallon_3;2021-06-15;15:56:50;7;F2;Arrival;x;;;;
Farallon_3;2021-06-15;16:10:21;7;F2;Takeover;;;;;
Farallon_3;2021-06-15;16:15:08;7;F1;Takeover;;;;;
Farallon_3;2021-06-15;16:34:08;7;F2;Departure;;;;;something scared the birds
Farallon_3;2021-06-15;16:47:26;6;F2;Arrival;x;;;;
Farallon_3;2021-06-15;16:55:18;6;F2;Takeover;;;;;
Farallon_3;2021-06-15;16:56:04;6;F1;Departure;;;;;
Farallon_3;2021-06-15;19:12:10;7;F2;Arrival;x;;;;
Farallon_3;2021-06-15;19:20:38;7;F2;Takeover;;;;;
Farallon_3;2021-06-15;19:26:45;2;F2;Arrival;x;;;;
Farallon_3;2021-06-15;19:39:03;2;F2;Takeover;;;;;
Farallon_3;2021-06-15;19:40:58;2;F1;Departure;;;;;
Farallon_3;2021-06-15;19:42:33;7;F1;Departure;;;;;OBS Video slutar 20:47
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
