Ledge;Date;Time;PairNr;Individual;Event;ArrNoFish;FishType;FishSize;DroppedFish;Comments
Rost_3;2021-06-03;15:00:00;1;F1;Start;;;;;
Rost_3;2021-06-03;15:00:00;2;F1;Start;;;;;
Rost_3;2021-06-03;15:00:00;3;F1;Start;;;;;
Rost_3;2021-06-03;15:00:00;4;F1;Start;;;;;
Rost_3;2021-06-03;15:00:00;5;F1;Start;;;;;
Rost_3;2021-06-03;15:00:00;2;F2;Start;;;;;
Rost_3;2021-06-03;15:00:00;4;F2;Start;;;;;
Rost_3;2021-06-03;15:04:26;2;F2;Departure;;;;;
Rost_3;2021-06-03;15:06:55;4;F2;Takeover;;;;;
Rost_3;2021-06-03;15:16:53;4;F1;Departure;;;;;
Rost_3;2021-06-03;15:28:45;5;F2;Arrival;x;;;;
Rost_3;2021-06-03;15:37:53;5;F2;Takeover;;;;;
Rost_3;2021-06-03;15:42:29;5;F1;Departure;;;;;
Rost_3;2021-06-03;16:54:13;3;F2;Arrival;x;;;;
Rost_3;2021-06-03;16:59:24;3;F2;Takeover;;;;;
Rost_3;2021-06-03;17:01:19;3;F1;Departure;;;;;
Rost_3;2021-06-03;17:43:49;1;F2;Arrival;x;;;;
Rost_3;2021-06-03;17:47:50;1;F2;Takeover;;;;;
Rost_3;2021-06-03;17:50:56;1;F1;Departure;;;;;
