Ledge;Date;Time;PairNr;Individual;Event;ArrNoFish;FishType;FishSize;DroppedFish;Comments
Triangle_3;2020-06-22;00:00:00;1;F1;Start;;;;;
Triangle_3;2020-06-22;03:48:28;1;F2;Arrival;;Clup;3;x;
Triangle_3;2020-06-22;03:51:08;1;F2;Takeover;;;;;
Triangle_3;2020-06-22;04:01:09;1;F1;Departure;;;;;
Triangle_3;2020-06-22;10:22:40;1;F1;Arrival;x;;;;
Triangle_3;2020-06-22;10:24:51;1;F1;Takeover;;;;;
Triangle_3;2020-06-22;10:39:14;1;F2;Takeover;;;;;
Triangle_3;2020-06-22;11:52:47;1;F1;Takeover;;;;;
Triangle_3;2020-06-22;12:03:05;1;F2;Departure;;;;;
Triangle_3;2020-06-22;16:12:39;1;F2;Arrival;;Clup;2;;
Triangle_3;2020-06-22;17:00:22;1;F2;Takeover;;;;;
Triangle_3;2020-06-22;17:04:22;1;F1;Departure;;;;;
Triangle_3;2020-06-22;17:18:30;1;F1;Arrival;x;;;;
Triangle_3;2020-06-22;19:34:20;1;F1;Departure;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
