Ledge;Date;Time;PairNr;Individual;Event;ArrNoFish;FishType;FishSize;DroppedFish;Comments
Farallon_3;2020-06-26;15:00:00;1;F1;Start;;;;;
Farallon_3;2020-06-26;15:00:00;2;F1;Start;;;;;
Farallon_3;2020-06-26;15:00:00;3;F1;Start;;;;;
Farallon_3;2020-06-26;15:00:00;4;F1;Start;;;;;
Farallon_3;2020-06-26;15:00:00;5;F1;Start;;;;;
Farallon_3;2020-06-26;15:00:00;7;F1;Start;;;;;
Farallon_3;2020-06-26;15:18:41;1;F2;Arrival;;Clup;3;;
Farallon_3;2020-06-26;15:25:26;1;F2;Takeover;;;;;
Farallon_3;2020-06-26;15:29:25;1;F1;Takeover;;;;;
Farallon_3;2020-06-26;15:30:12;1;F2;Takeover;;;;;
Farallon_3;2020-06-26;15:30:58;1;F1;Takeover;;;;;
Farallon_3;2020-06-26;15:33:54;1;F2;Takeover;;;;;
Farallon_3;2020-06-26;15:34:26;1;F1;Departure;;;;;
Farallon_3;2020-06-26;15:54:59;1;F2;Departure;;;;;chick alone, adopted by 7
Farallon_3;2020-06-26;15:55:25;1;F2;Arrival;x;;;;could theoretically be f1
Farallon_3;2020-06-26;16:17:47;2;F2;Arrival;;Clup;3;;
Farallon_3;2020-06-26;16:21:49;2;F2;Departure;;;;;
Farallon_3;2020-06-26;17:14:01;2;F2;Arrival;;Clup;2;;
Farallon_3;2020-06-26;17:27:13;2;F2;Takeover;;;;;
Farallon_3;2020-06-26;17:28:03;2;F1;Departure;;;;;
Farallon_3;2020-06-26;17:31:21;4;F1;Departure;;;;;chick alone, adopted by 7
Farallon_3;2020-06-26;17:36:53;4;F1;Arrival;x;;;;
Farallon_3;2020-06-26;17:51:06;4;F1;Departure;;;;;chick alone, adopted by 7
Farallon_3;2020-06-26;17:54:25;4;F1;Arrival;x;;;;
Farallon_3;2020-06-26;18:07:20;4;F1;Departure;;;;;
Farallon_3;2020-06-26;18:18:56;4;F1;Arrival;x;;;;
Farallon_3;2020-06-26;18:20:04;2;F1;Arrival;x;;;;
Farallon_3;2020-06-26;18:29:09;1;F1;Arrival;x;;;;could theoretically be f2
Farallon_3;2020-06-26;18:29:35;1;F1;Takeover;;;;;
Farallon_3;2020-06-26;18:30:35;1;F2;Departure;;;;;
Farallon_3;2020-06-26;18:45:09;4;F1;Departure;;;;;chick alone, adopted by 7
Farallon_3;2020-06-26;18:48:34;4;F1;Arrival;x;;;;
Farallon_3;2020-06-26;18:51:43;7;F2;Arrival;x;;;;
Farallon_3;2020-06-26;18:52:13;7;F2;Takeover;;;;;
Farallon_3;2020-06-26;18:53:39;7;F1;Departure;;;;;
Farallon_3;2020-06-26;19:00:38;2;F1;Takeover;;;;;
Farallon_3;2020-06-26;19:06:55;2;F2;Takeover;;;;;
Farallon_3;2020-06-26;19:10:56;2;F1;Departure;;;;;
Farallon_3;2020-06-26;19:20:34;4;F1;Departure;;;;;chick alone, adopted by 7
Farallon_3;2020-06-26;19:25:06;4;F1;Arrival;x;;;;
Farallon_3;2020-06-26;19:28:35;3;F2;Arrival;;Clup;3;;
Farallon_3;2020-06-26;19:28:42;3;F2;Takeover;;;;;
Farallon_3;2020-06-26;19:29:25;3;F1;Departure;;;;;
Farallon_3;2020-06-26;19:47:05;2;F1;Arrival;;Clup;3;;
Farallon_3;2020-06-26;19:48:19;4;F2;Arrival;x;;;;
Farallon_3;2020-06-26;19:48:53;4;F2;Takeover;;;;;
Farallon_3;2020-06-26;19:49:31;4;F1;Departure;;;;;
Farallon_3;2020-06-26;19:54:00;2;F1;Takeover;;;;;
Farallon_3;2020-06-26;20:00:18;2;F2;Departure;;;;;
Farallon_3;2020-06-26;20:06:39;2;F2;Arrival;x;;;;
Farallon_3;2020-06-26;20:18:41;7;F1;Arrival;x;;;;
Farallon_3;2020-06-26;20:24:00;2;F2;Takeover;;;;;
Farallon_3;2020-06-26;20:26:44;7;F1;Departure;;;;;
Farallon_3;2020-06-26;20:45:09;2;F1;Takeover;;;;;
Farallon_3;2020-06-26;20:47:16;1;F2;Arrival;;Clup;3;;
Farallon_3;2020-06-26;20:48:19;1;F2;Takeover;;;;;
Farallon_3;2020-06-26;20:51:17;2;F2;Takeover;;;;;
Farallon_3;2020-06-26;20:51:15;1;F1;Takeover;;;;;
Farallon_3;2020-06-26;20:54:02;7;F1;Arrival;x;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
