Ledge;Date;Time;PairNr;Individual;Event;ArrNoFish;FishType;FishSize;DroppedFish;Comments
Farallon_3;2021-06-11;15:00:00;1;F1;Start;;;;;number 1 to the left
Farallon_3;2021-06-11;15:00:00;2;F1;Start;;;;;
Farallon_3;2021-06-11;15:00:00;3;F1;Start;;;;;
Farallon_3;2021-06-11;15:00:00;4;F1;Start;;;;;
Farallon_3;2021-06-11;15:00:00;5;F1;Start;;;;;
Farallon_3;2021-06-11;15:00:00;6;F1;Start;;;;;
Farallon_3;2021-06-11;15:00:00;7;F1;Start;;;;;7 to the right
Farallon_3;2021-06-11;15:20:10;2;F2;Arrival;x;;;;
Farallon_3;2021-06-11;15:39:10;2;F2;Takeover;;;;;
Farallon_3;2021-06-11;15:40:21;2;F1;Departure;;;;;
Farallon_3;2021-06-11;16:04:43;6;F2;Arrival;x;;;;
Farallon_3;2021-06-11;16:11:38;6;F2;Takeover;;;;;
Farallon_3;2021-06-11;16:12:57;6;F1;Departure;;;;;
Farallon_3;2021-06-11;16:13:40;2;F1;Arrival;x;;;;
Farallon_3;2021-06-11;16:17:46;1;F2;Arrival;x;;;;
Farallon_3;2021-06-11;16:41:07;1;F2;Takeover;;;;;
Farallon_3;2021-06-11;16:43:08;1;F1;Departure;;;;;
Farallon_3;2021-06-11;16:52:56;2;F1;Departure;;;;;
Farallon_3;2021-06-11;16:55:26;1;F1;Arrival;x;;;;
Farallon_3;2021-06-11;17:16:03;1;F1;Departure;;;;;
Farallon_3;2021-06-11;17:36:02;7;F2;Arrival;x;;;;
Farallon_3;2021-06-11;17:43:55;7;F2;Takeover;;;;;
Farallon_3;2021-06-11;17:46:46;7;F1;Departure;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
