Ledge;Date;Time;PairNr;Individual;Event;ArrNoFish;FishType;FishSize;DroppedFish;Comments
Triangle_3;2021-06-05;15:00:00;1;F1;Start;;;;;
Triangle_3;2021-06-05;15:00:00;2;F1;Start;;;;;
Triangle_3;2021-06-05;15:00:00;3;F1;Start;;;;;
Triangle_3;2021-06-05;15:00:00;4;F1;Start;;;;;blue egg, between pair 1 and 2
Triangle_3;2021-06-05;18:45:02;3;F2;Arrival;x;;;;
Triangle_3;2021-06-05;18:55:09;3;F2;Takeover;;;;;
Triangle_3;2021-06-05;19:01:14;3;F1;Departure;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
