Ledge;Date;Time;PairNr;Individual;Event;ArrNoFish;FishType;FishSize;DroppedFish;Comments
Farallon_3;2020-07-03;15:00:00;1;F1;Start;;;;;
Farallon_3;2020-07-03;15:00:00;2;F1;Start;;;;;
Farallon_3;2020-07-03;15:00:00;3;F1;Start;;;;;
Farallon_3;2020-07-03;15:00:00;5;F1;Start;;;;;
Farallon_3;2020-07-03;15:00:00;5;F2;Start;;;;;
Farallon_3;2020-07-03;15:20:10;5;F2;Takeover;;;;;
Farallon_3;2020-07-03;15:21:04;5;F1;Departure;;;;;
Farallon_3;2020-07-03;15:23:29;2;F2;Arrival;;Clup;3;;
Farallon_3;2020-07-03;15:23:45;2;F2;Takeover;;;;;
Farallon_3;2020-07-03;15:26:30;2;F1;Takeover;;;;;
Farallon_3;2020-07-03;15:27:08;1;F2;Arrival;x;;;;
Farallon_3;2020-07-03;15:49:08;1;F2;Departure;;;;;
Farallon_3;2020-07-03;16:02:45;5;F1;Arrival;;Clup;3;;
Farallon_3;2020-07-03;16:04:07;2;F2;Takeover;;;;;
Farallon_3;2020-07-03;16:05:03;5;F1;Departure;;;;;
Farallon_3;2020-07-03;16:06:57;2;F1;Departure;;;;;
Farallon_3;2020-07-03;16:15:09;1;F2;Arrival;x;;;;chick under other pair for a long time
Farallon_3;2020-07-03;16:24:53;2;F1;Arrival;x;;;;
Farallon_3;2020-07-03;16:35:03;2;F1;Takeover;;;;;
Farallon_3;2020-07-03;16:38:44;2;F2;Takeover;;;;;
Farallon_3;2020-07-03;17:16:20;1;F2;Takeover;;;;;
Farallon_3;2020-07-03;17:16:21;1;F1;Departure;;;;;
Farallon_3;2020-07-03;17:20:28;2;F1;Takeover;;;;;
Farallon_3;2020-07-03;17:20:50;2;F2;Takeover;;;;;
Farallon_3;2020-07-03;17:21:40;2;F1;Takeover;;;;;
Farallon_3;2020-07-03;17:22:10;2;F2;Departure;;;;;
Farallon_3;2020-07-03;17:47:24;2;F2;Arrival;x;;;;
Farallon_3;2020-07-03;18:27:30;2;F2;Departure;;;;;
Farallon_3;2020-07-03;18:28:57;1;F1;Arrival;;Clup;3;;
Farallon_3;2020-07-03;18:29:25;1;F1;Takeover;;;;;
Farallon_3;2020-07-03;18:30:43;1;F2;Takeover;;;;;
Farallon_3;2020-07-03;18:48:29;5;F1;Arrival;;Clup;3;;
Farallon_3;2020-07-03;18:49:24;2;F2;Arrival;;Clup;4;;
Farallon_3;2020-07-03;18:49:35;1;F1;Takeover;;;;;
Farallon_3;2020-07-03;18:52:48;5;F1;Takeover;;;;;
Farallon_3;2020-07-03;18:54:31;5;F2;Takeover;;;;;
Farallon_3;2020-07-03;18:55:23;5;F1;Takeover;;;;;
Farallon_3;2020-07-03;18:56:12;5;F2;Departure;;;;;
Farallon_3;2020-07-03;19:07:18;1;F2;Departure;;;;;
Farallon_3;2020-07-03;19:08:17;1;F2;Arrival;;;;;
Farallon_3;2020-07-03;19:16:08;2;F2;Departure;;;;;
Farallon_3;2020-07-03;19:26:34;1;F2;Takeover;;;;;
Farallon_3;2020-07-03;19:26:35;1;F1;Departure;;;;;
Farallon_3;2020-07-03;19:48:58;5;F2;Arrival;;Clup;2;;
Farallon_3;2020-07-03;19:49:00;2;F2;Arrival;x;;;;
Farallon_3;2020-07-03;19:51:19;5;F2;Departure;;;;;
Farallon_3;2020-07-03;19:54:55;2;F2;Takeover;;;;;
Farallon_3;2020-07-03;20:06:51;2;F1;Departure;;;;;
Farallon_3;2020-07-03;20:13:42;3;F2;Arrival;;Clup;3;;
Farallon_3;2020-07-03;20:19:04;3;F2;Takeover;;;;;
Farallon_3;2020-07-03;20:22:46;3;F1;Takeover;;;;;
Farallon_3;2020-07-03;20:33:45;3;F2;Takeover;;;;;
Farallon_3;2020-07-03;20:34:15;3;F1;Departure;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
