Ledge;Date;Time;PairNr;Individual;Event;ArrNoFish;FishType;FishSize;DroppedFish;Comments
Röst_3;2020-06-28;15:00:00;1;F1;Start;;;;;has a chick
Röst_3;2020-06-28;15:00:00;2;F1;Start;;;;;has a chick
Röst_3;2020-06-28;15:00:00;3;F1;Start;;;;;has a chick
Röst_3;2020-06-28;15:00:00;4;F1;Start;;;;;has a chick
Röst_3;2020-06-28;15:00:00;5;F1;Start;;;;;
Röst_3;2020-06-28;16:10:54;1;F2;Arrival;;Clup;4;;possibly a big 3
Röst_3;2020-06-28;16:12:00;1;F2;Takeover;;;;;
Röst_3;2020-06-28;16:12:40;1;F1;Takeover;;;;;
Röst_3;2020-06-28;16:13:06;1;F2;Takeover;;;;;F1 pulled off cliff by pair 2
Röst_3;2020-06-28;16:13:07;1;F1;Departure;;;;;
Röst_3;2020-06-28;16:13:50;1;F1;Arrival;x;;;;
Röst_3;2020-06-28;16:16:50;1;F1;Departure;;;;;
Röst_3;2020-06-28;16:44:41;1;F1;Arrival;x;;;;
Röst_3;2020-06-28;16:53:58;1;F1;Takeover;;;;;
Röst_3;2020-06-28;17:09:19;1;F2;Takeover;;;;;
Röst_3;2020-06-28;17:11:09;3;F2;Arrival;;Clup;3;;
Röst_3;2020-06-28;17:13:22;3;F2;Takeover;;;;;
Röst_3;2020-06-28;17:17:56;3;F1;Departure;;;;;
Röst_3;2020-06-28;17:31:58;4;F2;Arrival;;Clup;2;;
Röst_3;2020-06-28;17:33:36;4;F2;Takeover;;;;;
Röst_3;2020-06-28;17:35:21;4;F1;Departure;;;;;
Röst_3;2020-06-28;17:39:00;1;F1;Takeover;;;;;
Röst_3;2020-06-28;17:47:12;1;F2;Takeover;;;;;
Röst_3;2020-06-28;18:01:29;3;F1;Arrival;;Clup;2;;
Röst_3;2020-06-28;18:03:17;3;F1;Departure;;;;;
Röst_3;2020-06-28;18:38:19;1;F1;Departure;;;;;
Röst_3;2020-06-28;18:50:54;4;F1;Arrival;;Clup;2;;
Röst_3;2020-06-28; 18:56:14;4;F1;Departure;;;;;
Röst_3;2020-06-28;19:15:14;1;F1;Arrival;;Clup;2;;
Röst_3;2020-06-28;19:33:06;1;F1;Departure;;;;;
