Ledge;Date;Time;PairNr;Individual;Event;ArrNoFish;FishType;FishSize;DroppedFish;Comments
Rost_3;2021-06-21;15:00:00;1;F1;Start;;;;;chick
Rost_3;2021-06-21;15:00:00;2;F1;Start;;;;;chick
Rost_3;2021-06-21;15:00:00;3;F1;Start;;;;;chick
Rost_3;2021-06-21;15:00:00;4;F1;Start;;;;;chick
Rost_3;2021-06-21;15:00:00;5;F1;Start;;;;;chick
Rost_3;2021-06-21;15:00:00;4;F2;Start;;;;;
Rost_3;2021-06-21;15:09:33;4;F2;Takeover;;;;;
Rost_3;2021-06-21;15:19:13;4;F1;Departure;;;;;
Rost_3;2021-06-21;15:23:58;4;F1;Arrival;x;;;;
Rost_3;2021-06-21;15:59:09;4;F1;Takeover;;;;;
Rost_3;2021-06-21;16:01:54;4;F2;Takeover;;;;;
Rost_3;2021-06-21;16:04:26;4;F1;Takeover;;;;;
Rost_3;2021-06-21;16:47:18;4;F2;Takeover;;;;;
Rost_3;2021-06-21;16:57:13;4;F1;Departure;;;;;
Rost_3;2021-06-21;18:10:12;4;F1;Arrival;;Clup;2;;
Rost_3;2021-06-21;18:11:37;2;F2;Arrival;;Clup;3;;
Rost_3;2021-06-21;18:26:55;2;F2;Takeover;;;;;
Rost_3;2021-06-21;18:29:03;2;F1;Departure;;;;;
Rost_3;2021-06-21;18:35:14;4;F1;Takeover;;;;;
Rost_3;2021-06-21;18:44:05;4;F2;Departure;;;;;
Rost_3;2021-06-21;18:44:17;4;F2;Arrival;x;;;;
Rost_3;2021-06-21;18:45:42;4;F2;Departure;;;;;
Rost_3;2021-06-21;19:02:52;3;F2;Arrival;;Clup;2;;
Rost_3;2021-06-21;19:03:38;3;F2;Takeover;;;;;
Rost_3;2021-06-21;19:08:25;3;F1;Departure;;;;;
Rost_3;2021-06-21;19:36:50;3;F1;Arrival;;Clup;2;;
Rost_3;2021-06-21;19:42:09;3;F1;Departure;;;;;
Rost_3;2021-06-21;19:43:36;5;F2;Arrival;;Clup;2;;
Rost_3;2021-06-21;19:49:55;5;F2;Takeover;;;;;
Rost_3;2021-06-21;19:51:57;5;F1;Departure;;;;;
Rost_3;2021-06-21;20:11:22;4;F2;Arrival;;Clup;1;;
Rost_3;2021-06-21;20:11:37;4;F2;Takeover;;;;;
Rost_3;2021-06-21;20:24:05;4;F1;Departure;;;;;
Rost_3;2021-06-21;20:28:15;1;F2;Arrival;;Clup;2;;
Rost_3;2021-06-21;20:29:21;1;F2;Takeover;;;;;
Rost_3;2021-06-21;20:33:46;1;F1;Departure;;;;;
Rost_3;2021-06-21;20:34:23;1;F1;Arrival;x;;;;
Rost_3;2021-06-21;20:35:59;1;F1;Departure;;;;;
Rost_3;2021-06-21;20:40:17;4;F1;Arrival;;Clup;2;;
Rost_3;2021-06-21;20:44:33;4;F1;Departure;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
