Ledge;Date;Time;PairNr;Individual;Event;ArrNoFish;FishType;FishSize;DroppedFish;Comments
Farallon_3;2020-06-24;15:00:00;1;F1;Start;;;;;
Farallon_3;2020-06-24;15:00:00;2;F1;Start;;;;;
Farallon_3;2020-06-24;15:00:00;3;F1;Start;;;;;
Farallon_3;2020-06-24;15:00:00;4;F1;Start;;;;;
Farallon_3;2020-06-24;15:00:00;5;F1;Start;;;;;
Farallon_3;2020-06-24;15:00:00;6;F1;Start;;;;;
Farallon_3;2020-06-24;15:00:00;7;F1;Start;;;;;
Farallon_3;2020-06-24;15:00:00;1;F2;Start;;;;;
Farallon_3;2020-06-24;15:09:17;4;F2;Arrival;x;;;;
Farallon_3;2020-06-24;15:24:16;2;F2;Arrival;;Clup;3;;
Farallon_3;2020-06-24;15:26:07;2;F2;Takeover;;;;;
Farallon_3;2020-06-24;15:30:15;2;F1;Departure;;;;;
Farallon_3;2020-06-24;15:30:55;2;F1;Arrival;x;;;;
Farallon_3;2020-06-24;15:32:10;1;F2;Departure;;;;;
Farallon_3;2020-06-24;15:34:15;2;F1;Takeover;;;;;
Farallon_3;2020-06-24;15:50:30;2;F2;Takeover;;;;;
Farallon_3;2020-06-24;15:58:15;2;F1;Departure;;;;;
Farallon_3;2020-06-24;16:05:14;4;F2;Departure;;;;;
Farallon_3;2020-06-24;16:35:19;3;F2;Arrival;;Clup;3;;
Farallon_3;2020-06-24;17:16:23;3;F2;Departure;;;;;
Farallon_3;2020-06-24;19:42:10;1;F2;Arrival;;Clup;3;;
Farallon_3;2020-06-24;20:05:39;1;F2;Takeover;;;;;
Farallon_3;2020-06-24;20:06:02;1;F1;Takeover;;;;;
Farallon_3;2020-06-24;20:15:52;1;F2;Takeover;;;;;
Farallon_3;2020-06-24;20:19:06;1;F1;Departure;;;;;
Farallon_3;2020-06-24;20:27:28;2;F1;Arrival;;Clup;3;;
Farallon_3;2020-06-24;20:36:02;2;F1;Takeover;;;;;
Farallon_3;2020-06-24;20:37:17;2;F2;Departure;;;;;
