Ledge;Date;Time;PairNr;Individual;Event;ArrNoFish;FishType;FishSize;DroppedFish;Comments
Rost_3;2021-06-07;15:00:00;1;F1;Start;;;;;
Rost_3;2021-06-07;15:00:00;2;F1;Start;;;;;
Rost_3;2021-06-07;15:00:00;3;F1;Start;;;;;
Rost_3;2021-06-07;15:00:00;4;F1;Start;;;;;
Rost_3;2021-06-07;15:00:00;5;F1;Start;;;;;
Rost_3;2021-06-07;15:00:00;2;F2;Start;;;;;
Rost_3;2021-06-07;15:00:00;3;F2;Start;;;;;
Rost_3;2021-06-07;15:08:59;3;F2;Departure;;;;;
Rost_3;2021-06-07;15:20:14;2;F2;Departure;;;;;
Rost_3;2021-06-07;15:25:01;2;F2;Arrival;x;;;;
Rost_3;2021-06-07;16:32:36;4;F2;Arrival;x;;;;
Rost_3;2021-06-07;16:35:48;1;F2;Arrival;;;;;
Rost_3;2021-06-07;16:40:13;1;F2;Takeover;;;;;
Rost_3;2021-06-07;16:41:09;4;F2;Takeover;;;;;
Rost_3;2021-06-07;16:41:40;1;F1;Departure;;;;;
Rost_3;2021-06-07;16:52:04;4;F1;Departure;;;;;
Rost_3;2021-06-07;16:57:19;1;F1;Arrival;x;;;;
Rost_3;2021-06-07;19:37:13;1;F1;Departure;;;;;
Rost_3;2021-06-07;19:48:09;2;F2;Departure;;;;;
