Ledge;Date;Time;PairNr;Individual;Event;ArrNoFish;FishType;FishSize;DroppedFish;Comments
Rost_3;2021-06-29;15:00:00;1;F1;Start;;;;;chick
Rost_3;2021-06-29;15:00:00;2;F1;Start;;;;;chick
Rost_3;2021-06-29;15:00:00;3;F1;Start;;;;;chick
Rost_3;2021-06-29;15:00:00;4;F1;Start;;;;;chick
Rost_3;2021-06-29;15:00:00;5;F1;Start;;;;;chick
Rost_3;2021-06-29;15:05:09;2;F2;Arrival;;Clup;2;;
Rost_3;2021-06-29;15:05:33;3;F2;Arrival;;Clup;3;;
Rost_3;2021-06-29;15:08:30;2;F2;Takeover;;;;;
Rost_3;2021-06-29;15:08:42;4;F2;Arrival;;Clup;3;;
Rost_3;2021-06-29;15:21:24;4;F2;Takeover;;;;;
Rost_3;2021-06-29;15:24:11;4;F1;Takeover;;;;;
Rost_3;2021-06-29;15:28:09;4;F2;Takeover;;;;;
Rost_3;2021-06-29;15:29:58;4;F1;Takeover;;;;;
Rost_3;2021-06-29;15:30:06;2;F1;Takeover;;;;;
Rost_3;2021-06-29;15:36:08;2;F2;Takeover;;;;;
Rost_3;2021-06-29;15:45:59;4;F2;Takeover;;;;;
Rost_3;2021-06-29;15:46:39;2;F1;Departure;;;;;
Rost_3;2021-06-29;15:48:29;4;F1;Departure;;;;;
Rost_3;2021-06-29;15:51:11;3;F2;Takeover;;;;;
Rost_3;2021-06-29;15:52:57;3;F1;Takeover;;;;;
Rost_3;2021-06-29;16:03:23;3;F2;Takeover;;;;;
Rost_3;2021-06-29;16:06:02;3;F1;Departure;;;;;
Rost_3;2021-06-29;17:08:46;2;F1;Arrival;;Clup;2;;
Rost_3;2021-06-29;17:10:06;4;F1;Arrival;;Clup;2;;
Rost_3;2021-06-29;17:21:03;4;F1;Departure;;;;;
Rost_3;2021-06-29;17:32:02;2;F1;Departure;;;;;
Rost_3;2021-06-29;17:44:51;1;F2;Arrival;;Clup;2;;
Rost_3;2021-06-29;17:47:28;1;F2;Takeover;;;;;
Rost_3;2021-06-29;17:48:21;1;F1;Takeover;;;;;
Rost_3;2021-06-29;17:48:52;1;F2;Takeover;;;;;
Rost_3;2021-06-29;17:48:59;1;F1;Departure;;;;;
Rost_3;2021-06-29;18:12:34;5;F2;Arrival;;Clup;2;;
Rost_3;2021-06-29;18:12:56;5;F2;Takeover;;;;;
Rost_3;2021-06-29;18:15:45;5;F1;Departure;;;;;
Rost_3;2021-06-29;18:23:10;5;F1;Arrival;x;;;;
Rost_3;2021-06-29;18:50:09;5;F1;Departure;;;;;
Rost_3;2021-06-29;19:14:59;2;F1;Arrival;;Clup;3;;
Rost_3;2021-06-29;19:30:05;2;F1;Departure;;;;;
Rost_3;2021-06-29;19:57:27;4;F1;Arrival;;Clup;4;;
Rost_3;2021-06-29;20:03:48;4;F1;Departure;;;;;
Rost_3;2021-06-29;20:15:17;5;F1;Arrival;;Clup;2;;
Rost_3;2021-06-29;20:29:12;5;F1;Takeover;;;;;
Rost_3;2021-06-29;20:32:38;5;F2;Takeover;;;;;
