Ledge;Date;Time;PairNr;Individual;Event;ArrNoFish;FishType;FishSize;DroppedFish;Comments
Farallon_3;2020-07-08;15:00:00;1;F1;Start;;;;;
Farallon_3;2020-07-08;15:00:00;2;F1;Start;;;;;
Farallon_3;2020-07-08;15:00:00;3;F1;Start;;;;;
Farallon_3;2020-07-08;15:00:00;5;F1;Start;;;;;
Farallon_3;2020-07-08;15:00:00;2;F2;Start;;;;;
Farallon_3;2020-07-08;15:18:06;2;F2;Departure;;;;;
Farallon_3;2020-07-08;15:18:31;5;F2;Arrival;;Clup;3;;
Farallon_3;2020-07-08;15:19:34;5;F2;Takeover;;;;;
Farallon_3;2020-07-08;15:21:51;5;F1;Takeover;;;;;
Farallon_3;2020-07-08;15:29:49;2;F2;Arrival;x;;;;
Farallon_3;2020-07-08;15:38:29;5;F2;Takeover;;;;;
Farallon_3;2020-07-08;15:38:51;5;F1;Departure;;;;;
Farallon_3;2020-07-08;15:55:28;2;F2;Takeover;;;;;
Farallon_3;2020-07-08;15:56:00;2;F1;Takeover;;;;;
Farallon_3;2020-07-08;15:57:19;2;F2;Takeover;;;;;
Farallon_3;2020-07-08;15:57:37;2;F1;Takeover;;;;;
Farallon_3;2020-07-08;16:09:12;2;F2;Takeover;;;;;
Farallon_3;2020-07-08;16:11:30;2;F1;Takeover;;;;;
Farallon_3;2020-07-08;16:11:40;2;F2;Takeover;;;;;
Farallon_3;2020-07-08;16:24:06;2;F1;Departure;;;;;
Farallon_3;2020-07-08;16:48:54;2;F1;Arrival;x;;;;
Farallon_3;2020-07-08;16:52:55;2;F1;Takeover;;;;;
Farallon_3;2020-07-08;16:53:53;2;F2;Takeover;;;;;
Farallon_3;2020-07-08;17:07:51;2;F1;Takeover;;;;;
Farallon_3;2020-07-08;17:14:45;3;F2;Arrival;;Clup;3;;
Farallon_3;2020-07-08;17:17:45;3;F2;Takeover;;;;;
Farallon_3;2020-07-08;17:18:18;3;F1;Departure;;;;;
Farallon_3;2020-07-08;17:18:23;5;F1;Arrival;;Clup;3;;
Farallon_3;2020-07-08;17:18:36;5;F1;Takeover;;;;;
Farallon_3;2020-07-08;17:33:25;5;F2;Departure;;;;;
Farallon_3;2020-07-08;17:36:33;2;F2;Takeover;;;;;
Farallon_3;2020-07-08;18:38:13;2;F1;Takeover;;;;;
Farallon_3;2020-07-08;18:39:50;2;F2;Takeover;;;;;
Farallon_3;2020-07-08;18:58:51;2;F1;Takeover;;;;;
Farallon_3;2020-07-08;19:20:26;1;F2;Arrival;;Clup;3;;
Farallon_3;2020-07-08;19:21:12;1;F2;Takeover;;;;;
Farallon_3;2020-07-08;19:40:42;2;F2;Takeover;;;;;
Farallon_3;2020-07-08;19:41:11;2;F1;Departure;;;;;
Farallon_3;2020-07-08;19:41:44;2;F1;Arrival;x;;;;
Farallon_3;2020-07-08;19:43:52;1;F1;Departure;;;;;
Farallon_3;2020-07-08;19:59:19;1;F1;Arrival;x;;;;
Farallon_3;2020-07-08;20:08:36;1;F1;Takeover;;;;;Chick with other birds…
Farallon_3;2020-07-08;20:08:37;1;F2;Departure;;;;;
Farallon_3;2020-07-08;20:08:40;2;F1;Departure;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
