Ledge;Date;Time;PairNr;Individual;Event;ArrNoFish;FishType;FishSize;DroppedFish;Comments
Röst_3;2020-06-20;15:00:00;1;F1;Start;;;;;pairs numbered from left to right
Röst_3;2020-06-20;15:00:00;2;F1;Start;;;;;has a chick
Röst_3;2020-06-20;15:00:00;3;F1;Start;;;;;has a chick
Röst_3;2020-06-20;15:00:00;4;F1;Start;;;;;egg has a little hole
Röst_3;2020-06-20;15:00:00;5;F1;Start;;;;;
Röst_3;2020-06-20;15:00:00;5;F2;Start;;;;;
Röst_3;2020-06-20;15:38:04;2;F2;Arrival;;Clup;2;;
Röst_3;2020-06-20;15:55:31;2;F2;Takeover;;;;;
Röst_3;2020-06-20;16:02:22;2;F1;Departure;;;;;
Röst_3;2020-06-20;16:41:26;5;F2;Takeover;;;;;
Röst_3;2020-06-20;16:43:44;5;F1;Departure;;;;;
Röst_3;2020-06-20;17:32:13;1;F2;Arrival;x;;;;
Röst_3;2020-06-20;17:47:32;1;F2;Takeover;;;;;
Röst_3;2020-06-20;18:28:16;2;F1;Arrival;;Clup;2;;
Röst_3;2020-06-20;18:29:20;2;F1;Takeover;;;;;
Röst_3;2020-06-20;19:08:30;2;F2;Takeover;;;;;
Röst_3;2020-06-20;19:15:24;4;F2;Arrival;x;;;;
Röst_3;2020-06-20;19:21:48;4;F2;Takeover;;;;;
Röst_3;2020-06-20;19:26:19;4;F1;Departure;;;;;
Röst_3;2020-06-20;19:29:30;1;F1;Departure;;;;;
Röst_3;2020-06-20;19:39:11;2;F1;Takeover;;;;;
Röst_3;2020-06-20;20:24:52;2;F2;Takeover;;;;;
Röst_3;2020-06-20; 20:38:30;2;F1;Takeover;;;;;
Röst_3;2020-06-20;20:41:12;2;F2;Departure;;;;;
