Ledge;Date;Time;PairNr;Individual;Event;ArrNoFish;FishType;FishSize;DroppedFish;Comments
Farallon_3;2020-06-09;15:00:00;1;F1;Start;;;;;
Farallon_3;2020-06-09;15:00:00;2;F1;Start;;;;;
Farallon_3;2020-06-09;15:00:00;3;F1;Start;;;;;
Farallon_3;2020-06-09;15:00:00;4;F1;Start;;;;;
Farallon_3;2020-06-09;15:00:00;5;F1;Start;;;;;
Farallon_3;2020-06-09;15:00:00;6;F1;Start;;;;;
Farallon_3;2020-06-09;15:00:00;5;F2;Start;;;;;
Farallon_3;2020-06-09;15:52:26;5;F2;Departure;;;;;
Farallon_3;2020-06-09;16:06:36;1;F2;Arrival;x;;;;
Farallon_3;2020-06-09;16:08:05;1;F2;Takeover;;;;;
Farallon_3;2020-06-09;16:08:56;1;F1;Departure;;;;;
Farallon_3;2020-06-09;17:00:37;2;F2;Arrival;x;;;;
Farallon_3;2020-06-09;17:43:30;5;F2;Arrival;x;;;;
Farallon_3;2020-06-09;17:46:40;2;F2;Takeover;;;;;
Farallon_3;2020-06-09;17:51:55;2;F1;Departure;;;;;
Farallon_3;2020-06-09;19:09:54;5;F2;Takeover;;;;;
Farallon_3;2020-06-09;19:12:08;5;F1;Departure;;;;;
Farallon_3;2020-06-09;19:34:07;3;F2;Arrival;x;;;;
Farallon_3;2020-06-09;20:40:24;4;F2;Arrival;x;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
