Ledge;Date;Time;PairNr;Individual;Event;ArrNoFish;FishType;FishSize;DroppedFish;Comments
Farallon_3;2020-06-30;15:00:00;1;F1;Start;;;;;
Farallon_3;2020-06-30;15:00:00;2;F1;Start;;;;;
Farallon_3;2020-06-30;15:00:00;3;F1;Start;;;;;
Farallon_3;2020-06-30;15:00:00;5;F1;Start;;;;;
Farallon_3;2020-06-30;15:14:26;2;F2;Arrival;;Clup;2;;
Farallon_3;2020-06-30;15:45:17;2;F2;Takeover;;;;;
Farallon_3;2020-06-30;15:46:29;2;F1;Departure;;;;;
Farallon_3;2020-06-30;15:47:21;2;F1;Arrival;x;;;;
Farallon_3;2020-06-30;15:48:51;2;F1;Takeover;;;;;
Farallon_3;2020-06-30;16:40:29;2;F2;Departure;;;;;
Farallon_3;2020-06-30;16:47:08;2;F2;Arrival;x;;;;
Farallon_3;2020-06-30;16:48:29;5;F2;Arrival;;Clup;3;;
Farallon_3;2020-06-30;16:50:25;5;F2;Takeover;;;;;
Farallon_3;2020-06-30;16:50:37;2;F2;Takeover;;;;;
Farallon_3;2020-06-30;16:52:12;5;F1;Departure;;;;;
Farallon_3;2020-06-30;16:53:28;2;F1;Takeover;;;;;
Farallon_3;2020-06-30;16:56:57;5;F1;Arrival;x;;;;
Farallon_3;2020-06-30;16:57:57;5;F1;Takeover;;;;;
Farallon_3;2020-06-30;16:58:57;5;F2;Takeover;;;;;
Farallon_3;2020-06-30;16:59:38;1;F2;Arrival;;Clup;3;;
Farallon_3;2020-06-30;17:08:32;1;F2;Takeover;;;;;
Farallon_3;2020-06-30;17:08:48;1;F1;Departure;;;;;
Farallon_3;2020-06-30;17:08:50;5;F1;Departure;;;;;
Farallon_3;2020-06-30;17:16:53;5;F1;Arrival;;Clup;3;;
Farallon_3;2020-06-30;17:18:44;5;F1;Departure;;;;;
Farallon_3;2020-06-30;17:21:40;2;F2;Departure;;;;;
Farallon_3;2020-06-30;17:52:53;3;F2;Arrival;;Clup;3;;
Farallon_3;2020-06-30;17:57:30;3;F2;Takeover;;;;;
Farallon_3;2020-06-30;17:58:41;3;F1;Departure;;;;;
Farallon_3;2020-06-30;18:04:17;5;F1;Arrival;;Clup;3;;
Farallon_3;2020-06-30;18:07:41;5;F1;Departure;;;;;
Farallon_3;2020-06-30;18:17:12;3;F1;Arrival;x;;;;
Farallon_3;2020-06-30;18:30:04;3;F1;Takeover;;;;;
Farallon_3;2020-06-30;18:31:09;3;F2;Takeover;;;;;
Farallon_3;2020-06-30;18:45:41;3;F1;Takeover;;;;;
Farallon_3;2020-06-30;18:46:38;3;F2;Departure;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
