Ledge;Date;Time;PairNr;Individual;Event;ArrNoFish;FishType;FishSize;DroppedFish;Comments
Rost_3;2021-06-09;15:00:00;1;F1;Start;;;;;
Rost_3;2021-06-09;15:00:00;2;F1;Start;;;;;
Rost_3;2021-06-09;15:00:00;3;F1;Start;;;;;
Rost_3;2021-06-09;15:00:00;4;F1;Start;;;;;
Rost_3;2021-06-09;15:00:00;5;F1;Start;;;;;
Rost_3;2021-06-09;15:18:02;2;F2;Arrival;x;;;;
Rost_3;2021-06-09;15:45:45;3;F2;Arrival;x;;;;
Rost_3;2021-06-09;15:51:20;2;F2;Takeover;;;;;
Rost_3;2021-06-09;16:02:28;2;F1;Departure;;;;;
Rost_3;2021-06-09;16:08:40;3;F2;Takeover;;;;;
Rost_3;2021-06-09;16:17:16;3;F1;Departure;;;;;
Rost_3;2021-06-09;16:52:41;2;F1;Arrival;x;;;;
Rost_3;2021-06-09;19:13:38;5;F2;Arrival;x;;;;
Rost_3;2021-06-09;19:29:43;5;F2;Takeover;;;;;
Rost_3;2021-06-09;19:33:27;5;F1;Departure;;;;;
Rost_3;2021-06-09;19:38:08;4;F2;Arrival;x;;;;
Rost_3;2021-06-09;20:05:42;4;F2;Takeover;;;;;
Rost_3;2021-06-09;20:14:27;4;F1;Departure;;;;;
;;;;;;;;;;
