Ledge;Date;Time;PairNr;Individual;Event;ArrNoFish;FishType;FishSize;DroppedFish;Comments
Farallon_3;2021-06-25;15:00:00;1;F1;Start;;;;;
Farallon_3;2021-06-25;15:00:00;2;F1;Start;;;;;
Farallon_3;2021-06-25;15:00:00;3;F1;Start;;;;;15:00:27 chick is with some other bird, also at 15:48:17
Farallon_3;2021-06-25;15:00:00;6;F1;Start;;;;;
Farallon_3;2021-06-25;15:00:00;7;F1;Start;;;;;
Farallon_3;2021-06-25;15:14:38;6;F2;Arrival;;Clup;2;;
Farallon_3;2021-06-25;15:18:14;6;F2;Takeover;;;;;
Farallon_3;2021-06-25;15:19:47;6;F1;Departure;;;;;
Farallon_3;2021-06-25;15:55:12;6;F1;Arrival;;Clup;2;;
Farallon_3;2021-06-25;16:00:31;6;F1;Departure;;;;;
Farallon_3;2021-06-25;16:04:56;1;F2;Arrival;;Clup;2;;
Farallon_3;2021-06-25;16:14:08;1;F2;Takeover;;;;;
Farallon_3;2021-06-25;16:14:49;1;F1;Departure;;;;;
Farallon_3;2021-06-25;16:19:23;7;F2;Arrival;x;;;;
Farallon_3;2021-06-25;16:20:03;1;F1;Arrival;x;;;;
Farallon_3;2021-06-25;16:20:48;1;F1;Departure;;;;;
Farallon_3;2021-06-25;16:21:23;2;F2;Arrival;;Clup;2;;
Farallon_3;2021-06-25;16:21:42;7;F2;Takeover;;;;;
Farallon_3;2021-06-25;16:23:51;7;F1;Departure;;;;;
Farallon_3;2021-06-25;16:29:30;2;F2;Takeover;;;;;
Farallon_3;2021-06-25;16:31:21;2;F1;Takeover;;;;;
Farallon_3;2021-06-25;16:38:40;2;F2;Takeover;;;;;
Farallon_3;2021-06-25;16:38:54;2;F1;Takeover;;;;;
Farallon_3;2021-06-25;16:45:55;2;F2;Takeover;;;;;
Farallon_3;2021-06-25;16:46:09;2;F1;Departure;;;;;
Farallon_3;2021-06-25;17:24:51;3;F2;Arrival;;Clup;1;;
Farallon_3;2021-06-25;17:26:08;3;F2;Takeover;;;;;
Farallon_3;2021-06-25;17:28:53;3;F1;Takeover;;;;;
Farallon_3;2021-06-25;17:29:22;3;F2;Takeover;;;;;
Farallon_3;2021-06-25;17:36:34;3;F1;Departure;;;;;
Farallon_3;2021-06-25;18:25:52;1;F1;Arrival;;Clup;2;;
Farallon_3;2021-06-25;18:26:02;1;F1;Takeover;;;;;
Farallon_3;2021-06-25;18:26:45;1;F2;Takeover;;;;;
Farallon_3;2021-06-25;18:36:56;1;F1;Takeover;;;;;
Farallon_3;2021-06-25;18:38:04;1;F2;Takeover;;;;;
Farallon_3;2021-06-25;18:39:03;1;F1;Takeover;;;;;
Farallon_3;2021-06-25;18:40:43;1;F2;Departure;;;;;
Farallon_3;2021-06-25;18:50:31;7;F1;Arrival;;Clup;2;;
Farallon_3;2021-06-25;18:56:40;7;F1;Departure;;;;;18:59:45 neighbor babysits nr 3 chick
Farallon_3;2021-06-25;19:14:49;3;F1;Arrival;;Clup;2;;
Farallon_3;2021-06-25;19:20:43;1;F2;Arrival;;Clup;1;;not sure what type of fish
Farallon_3;2021-06-25;19:21:49;3;F1;Takeover;;;;;
Farallon_3;2021-06-25;19:22:09;3;F2;Departure;;;;;
Farallon_3;2021-06-25;19:42:00;1;F2;Takeover;;;;;
Farallon_3;2021-06-25;19:44:31;1;F1;Takeover;;;;;
Farallon_3;2021-06-25;19:46:22;2;F1;Arrival;;Clup;3;;
Farallon_3;2021-06-25;19:47:06;2;F1;Takeover;;;;;
Farallon_3;2021-06-25;19:51:57;2;F2;Departure;;;;;
Farallon_3;2021-06-25;19:58:53;3;F2;Arrival;;Clup;2;;
Farallon_3;2021-06-25;20:00:03;7;F1;Arrival;;Clup;2;;
Farallon_3;2021-06-25;20:04:05;7;F1;Departure;;;;;
Farallon_3;2021-06-25;20:04:42;3;F2;Takeover;;;;;
Farallon_3;2021-06-25;20:05:39;3;F1;Departure;;;;;
Farallon_3;2021-06-25;20:15:17;1;F2;Takeover;;;;;
Farallon_3;2021-06-25;20:43:43;1;F1;Takeover;;;;;
Farallon_3;2021-06-25;20:46:14;1;F2;Departure;;;;;
