Ledge;Date;Time;PairNr;Individual;Event;ArrNoFish;FishType;FishSize;DroppedFish;Comments
Farallon_3;2020-07-05;15:00:00;1;F1;Start;;;;;
Farallon_3;2020-07-05;15:00:00;2;F1;Start;;;;;
Farallon_3;2020-07-05;15:00:00;3;F1;Start;;;;;
Farallon_3;2020-07-05;15:00:00;5;F1;Start;;;;;
Farallon_3;2020-07-05;15:27:59;3;F2;Arrival;;Clup;3;;
Farallon_3;2020-07-05;15:28:05;3;F2;Takeover;;;;;
Farallon_3;2020-07-05;15:31:55;3;F1;Departure;;;;;
Farallon_3;2020-07-05;15:38:02;3;F1;Arrival;x;;;;
Farallon_3;2020-07-05;15:42:18;3;F1;Takeover;;;;;
Farallon_3;2020-07-05;15:49:25;3;F2;Takeover;;;;;
Farallon_3;2020-07-05;15:53:25;3;F1;Departure;;;;;
Farallon_3;2020-07-05;16:06:01;1;F2;Arrival;x;;;;
Farallon_3;2020-07-05;16:19:37;1;F2;Takeover;;;;;
Farallon_3;2020-07-05;16:23:45;1;F1;Takeover;;;;;
Farallon_3;2020-07-05;16:23:46;1;F2;Departure;;;;;
Farallon_3;2020-07-05;16:28:36;1;F2;Arrival;x;;;;
Farallon_3;2020-07-05;16:33:56;1;F2;Departure;;;;;
Farallon_3;2020-07-05;16:36:14;5;F2;Arrival;;Clup;3;;
Farallon_3;2020-07-05;16:36:19;5;F2;Takeover;;;;;
Farallon_3;2020-07-05;16:38:34;5;F1;Departure;;;;;
Farallon_3;2020-07-05;16:42:05;2;F2;Arrival;;Spigg;1;;
Farallon_3;2020-07-05;16:46:17;5;F1;Arrival;x;;;;
Farallon_3;2020-07-05;16:55:45;5;F1;Departure;;;;;
Farallon_3;2020-07-05;16:57:41;1;F2;Arrival;;Clup;3;;
Farallon_3;2020-07-05;16:58:00;1;F2;Takeover;;;;;
Farallon_3;2020-07-05;16:58:55;2;F2;Takeover;;;;;
Farallon_3;2020-07-05;17:01:25;1;F1;Takeover;;;;;
Farallon_3;2020-07-05;17:01:26;1;F2;Departure;;;;;
Farallon_3;2020-07-05;17:01:57;2;F1;Departure;;;;;
Farallon_3;2020-07-05;17:08:44;2;F1;Arrival;x;;;;
Farallon_3;2020-07-05;17:37:10;5;F1;Arrival;;Clup;3;;
Farallon_3;2020-07-05;17:37:26;5;F1;Takeover;;;;;
Farallon_3;2020-07-05;17:39:18;2;F1;Takeover;;;;;
Farallon_3;2020-07-05;17:39:53;5;F2;Takeover;;;;;
Farallon_3;2020-07-05;17:41:08;5;F1;Departure;;;;;
Farallon_3;2020-07-05;17:56:00;1;F2;Arrival;;Tobis;;;
Farallon_3;2020-07-05;17:57:23;1;F2;Departure;;;;;
Farallon_3;2020-07-05;17:57:37;2;F2;Departure;;;;;
Farallon_3;2020-07-05;18:03:48;2;F2;Arrival;x;;;;
Farallon_3;2020-07-05;18:07:11;2;F2;Takeover;;;;;
Farallon_3;2020-07-05;18:12:59;2;F1;Departure;;;;;
Farallon_3;2020-07-05;18:22:51;2;F1;Arrival;;Clup;3;;
Farallon_3;2020-07-05;18:22:57;2;F1;Takeover;;;;;
Farallon_3;2020-07-05;18:24:06;2;F2;Takeover;;;;;
Farallon_3;2020-07-05;18:31:49;2;F1;Departure;;;;;
Farallon_3;2020-07-05;18:39:22;1;F2;Arrival;;Clup;3;;
Farallon_3;2020-07-05;18:39:51;1;F2;Takeover;;;;;
Farallon_3;2020-07-05;18:47:04;1;F1;Takeover;;;;;
Farallon_3;2020-07-05;18:47:43;1;F2;Departure;;;;;
Farallon_3;2020-07-05;19:36:08;5;F1;Arrival;;Clup;3;;
Farallon_3;2020-07-05;19:44:39;5;F1;Departure;;;;;
Farallon_3;2020-07-05;20:29:05;1;F2;Arrival;;Clup;3;;
Farallon_3;2020-07-05;20:29:42;1;F2;Takeover;;;;;
Farallon_3;2020-07-05;20:37:50;1;F1;Departure;;;;;
Farallon_3;2020-07-05;20:47:43;1;F1;Arrival;x;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
