Ledge;Date;Time;PairNr;Individual;Event;ArrNoFish;FishType;FishSize;DroppedFish;Comments
Farallon_3;2020-07-06;00:00:00;1;F1;Start;;;;;
Farallon_3;2020-07-06;00:00:00;2;F1;Start;;;;;
Farallon_3;2020-07-06;00:00:00;3;F1;Start;;;;;
Farallon_3;2020-07-06;00:00:00;5;F1;Start;;;;;
Farallon_3;2020-07-06;02:02:48;1;F2;Arrival;;Clup;3;;
Farallon_3;2020-07-06;02:04:01;1;F2;Takeover;;;;;
Farallon_3;2020-07-06;03:00:55;1;F1;Takeover;;;;;
Farallon_3;2020-07-06;03:01:57;1;F2;Departure;;;;;
Farallon_3;2020-07-06;04:05:24;2;F2;Arrival;;Clup;4;;
Farallon_3;2020-07-06;04:05:36;2;F2;Takeover;;;;;
Farallon_3;2020-07-06;04:05:36;2;F1;Takeover;;;;;
Farallon_3;2020-07-06;04:14:14;2;F2;Takeover;;;;;
Farallon_3;2020-07-06;04:14:41;2;F1;Special;;;;;Plockade upp torkad liten fisk från hyllan, troligen spigg. Provade att mata ungen - misslyckades.
Farallon_3;2020-07-06;04:15:19;2;F1;Departure;;;;;
Farallon_3;2020-07-06;04:20:15;3;F2;Arrival;;Clup;3;;
Farallon_3;2020-07-06;04:26:37;3;F2;Takeover;;;;;
Farallon_3;2020-07-06;04:27:27;3;F1;Departure;;;;;
Farallon_3;2020-07-06;04:33:38;5;F2;Arrival;;Clup;2;;
Farallon_3;2020-07-06;04:35:24;5;F2;Takeover;;;;;
Farallon_3;2020-07-06;04:37:35;5;F1;Takeover;;;;;
Farallon_3;2020-07-06;04:39:38;5;F2;Takeover;;;;;
Farallon_3;2020-07-06;04:39:58;5;F1;Departure;;;;;
Farallon_3;2020-07-06;05:04:38;2;F1;Arrival;;Clup;2;;
Farallon_3;2020-07-06;05:11:34;2;F1;Departure;;;;;
Farallon_3;2020-07-06;05:45:24;3;F1;Arrival;;Clup;2;;
Farallon_3;2020-07-06;06:19:24;3;F1;Takeover;;;;;
Farallon_3;2020-07-06;06:25:39;3;F2;Takeover;;;;;
Farallon_3;2020-07-06;06:29:17;3;F1;Departure;;;;;
Farallon_3;2020-07-06;07:01:54;2;F1;Arrival;;Clup;4;;
Farallon_3;2020-07-06;07:23:18;3;F1;Arrival;;Clup;3;;
Farallon_3;2020-07-06;07:27:10;2;F1;Departure;;;;;
Farallon_3;2020-07-06;07:28:12;2;F1;Arrival;x;;;;
Farallon_3;2020-07-06;07:31:36;2;F1;Departure;;;;;
Farallon_3;2020-07-06;07:36:58;3;F1;Departure;;;;;
Farallon_3;2020-07-06;08:42:27;1;F2;Arrival;;Clup;3;;
Farallon_3;2020-07-06;08:42:57;1;F2;Takeover;;;;;
Farallon_3;2020-07-06;08:55:44;1;F1;Departure;;;;;
Farallon_3;2020-07-06;08:56:46;1;F1;Arrival;x;;;;
Farallon_3;2020-07-06;09:00:46;1;F1;Departure;;;;;Unge stora delar av tiden hos par 7
Farallon_3;2020-07-06;12:03:24;3;F1;Arrival;;Clup;3;;
Farallon_3;2020-07-06;12:11:17;2;F1;Arrival;;Clup;4;;
Farallon_3;2020-07-06;12:12:05;2;F1;Takeover;;;;;
Farallon_3;2020-07-06;12:17:35;2;F2;Departure;;;;;
Farallon_3;2020-07-06;12:23:57;2;F2;Arrival;x;;;;
Farallon_3;2020-07-06;12:26:27;3;F1;Takeover;;;;;
Farallon_3;2020-07-06;12:27:49;3;F2;Departure;;;;;
Farallon_3;2020-07-06;12:29:59;2;F2;Takeover;;;;;
Farallon_3;2020-07-06;12:37:44;2;F1;Takeover;;;;;
Farallon_3;2020-07-06;12:51:20;5;F1;Arrival;;Clup;3;;
Farallon_3;2020-07-06;12:57:38;5;F1;Takeover;;;;;
Farallon_3;2020-07-06;12:58:38;5;F2;Departure;;;;;
Farallon_3;2020-07-06;13:28:37;5;F2;Arrival;;Clup;1;;
Farallon_3;2020-07-06;13:32:07;2;F2;Takeover;;;;;
Farallon_3;2020-07-06;13:34:59;5;F2;Departure;;;;;
Farallon_3;2020-07-06;13:35:27;2;F1;Takeover;;;;;
Farallon_3;2020-07-06;13:36:53;5;F2;Arrival;x;;;;
Farallon_3;2020-07-06;13:39:28;2;F2;Takeover;;;;;
Farallon_3;2020-07-06;13:45:08;5;F2;Departure;;;;;
Farallon_3;2020-07-06;13:56:06;3;F2;Arrival;;Clup;3;;
Farallon_3;2020-07-06;13:57:14;2;F1;Takeover;;;;;
Farallon_3;2020-07-06;13:58:41;3;F2;Takeover;;;;;
Farallon_3;2020-07-06;14:07:03;2;F2;Takeover;;;;;
Farallon_3;2020-07-06;14:19:12;2;F1;Departure;;;;;
Farallon_3;2020-07-06;14:19:26;5;F2;Arrival;;Clup;3;;
Farallon_3;2020-07-06;14:25:17;2;F1;Arrival;x;;;;
Farallon_3;2020-07-06;14:27:03;3;F1;Takeover;;;;;
Farallon_3;2020-07-06;14:34:46;5;F2;Takeover;;;;;
Farallon_3;2020-07-06;14:35:22;5;F1;Departure;;;;;
Farallon_3;2020-07-06;14:44:28;3;F2;Takeover;;;;;
Farallon_3;2020-07-06;14:46:32;3;F1;Departure;;;;;
