Ledge;Date;Time;PairNr;Individual;Event;ArrNoFish;FishType;FishSize;DroppedFish;Comments
Farallon_3;2020-06-13;15:00:00;1;F1;Start;;;;;
Farallon_3;2020-06-13;15:00:00;2;F1;Start;;;;;
Farallon_3;2020-06-13;15:00:00;3;F1;Start;;;;;
Farallon_3;2020-06-13;15:00:00;4;F1;Start;;;;;
Farallon_3;2020-06-13;15:00:00;5;F1;Start;;;;;
Farallon_3;2020-06-13;15:00:00;6;F1;Start;;;;;
Farallon_3;2020-06-13;15:00:00;5;F2;Start;;;;;
Farallon_3;2020-06-13;15:19:20;5;F2;Departure;;;;;
Farallon_3;2020-06-13;16:28:01;2;F2;Arrival;x;;;;
Farallon_3;2020-06-13;16:48:42;2;F2;Takeover;;;;;
Farallon_3;2020-06-13;16:50:14;2;F1;Departure;;;;;
Farallon_3;2020-06-13;17:05:42;1;F2;Arrival;x;;;;
Farallon_3;2020-06-13;17:05:54;1;F2;Takeover;;;;;
Farallon_3;2020-06-13;17:07:02;1;F1;Departure;;;;;
Farallon_3;2020-06-13;17:28:48;1;F1;Arrival;x;;;;
Farallon_3;2020-06-13;17:34:37;1;F1;Departure;;;;;
Farallon_3;2020-06-13;17:59:29;1;F1;Arrival;x;;;;
Farallon_3;2020-06-13;18:46:40;1;F1;Departure;;;;;
Farallon_3;2020-06-13;20:19:40;4;F2;Arrival;x;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
