PairID;BrAttempt;EggDate;HatchDate;ChickGoneDate;EggLossDate;BreedSucc
Rost-3-2015-4;1;2015-05-13;;;2015-05-13;0
Bonden-4-2015-1;1;2015-05-15;;;2015-06-22;0
Farallon-3-2015-6;1;2015-05-15;;;2015-06-13;0
Farallon-1-2015-2;1;2015-05-16;2015-06-17;2015-07-05;;1
Triangle-3-2015-2;1;2015-05-22;;;2015-05-25;0
Rost-3-2015-5;1;2015-05-27;2015-06-28;2015-07-19;;1
Rost-3-2015-1;2;2015-05-27;2015-06-28;2015-07-19;;1
Rost-3-2015-4;2;2015-05-27;;;2015-05-30;0
Triangle-2-2015-1;1;2015-05-30;2015-07-02;2015-07-18;;1
Farallon-3-2015-2;2;2015-05-30;;;2015-07-01;0
Triangle-2-2015-2;1;2015-05-31;2015-07-05;2015-07-17;;0
Farallon-1-2015-3;1;2015-06-01;;;2015-06-02;0
Rost-3-2015-2;2;2015-06-02;2015-07-05;2015-07-19;;0
Triangle-2-2015-3;1;2015-06-09;2015-07-12;2015-07-13;;0
Farallon-1-2015-1;1;2015-06-12;2015-06-12;2015-06-28;;1
Bonden-1-2016-1;1;2016-05-02;2016-06-03;2016-06-24;;1
Rost-2-2016-1;1;2016-05-03;2016-06-05;2016-06-30;;1
Rost-2-2016-3;1;2016-05-03;2016-06-05;2016-06-24;;1
Farallon-1-2016-1;1;2016-05-05;2016-06-06;2016-06-25;;1
Rost-2-2016-2;1;2016-05-06;2016-06-14;2016-07-01;;1
Rost-3-2016-5;1;2016-05-07;2016-06-09;2016-07-02;;1
Farallon-3-2016-1;1;2016-05-08;2016-06-11;2016-06-30;;1
Bonden-3-2016-1;1;2016-05-08;2016-06-11;2016-06-30;;1
Farallon-1-2016-2;1;2016-05-09;;;2016-05-13;0
Farallon-3-2016-2;1;2016-05-12;2016-06-12;2016-07-04;;1
Farallon-3-2016-4;1;2016-05-12;2016-06-14;2016-07-03;;1
Farallon-3-2016-5;1;2016-05-12;2016-06-13;2016-07-04;;1
Rost-3-2016-2;1;2016-05-12;2016-06-13;2016-07-01;;1
Bonden-4-2016-1;1;2016-05-12;2016-06-16;2016-07-06;;1
Bonden-4-2016-2;1;2016-05-13;2016-06-14;2016-07-06;;1
Farallon-3-2016-3;1;2016-05-13;2016-06-15;2016-07-06;;1
Rost-3-2016-3;1;2016-05-13;2016-06-14;2016-07-07;;1
Farallon-3-2016-6;1;2016-05-15;2016-06-17;2016-07-06;;1
Farallon-3-2016-7;1;2016-05-15;2016-06-18;2016-07-07;;1
Farallon-2-2016-1;1;2016-05-15;;;2016-05-24;0
Rost-2-2016-4;1;2016-05-16;2016-06-19;2016-07-08;;1
Triangle-2-2016-1;1;2016-05-16;2016-06-17;2016-07-06;;1
Rost-2-2016-5;1;2016-05-16;2016-06-10;2016-06-29;;1
Triangle-2-2016-3;1;2016-05-16;2016-06-19;2016-07-09;;1
Triangle-3-2016-1;1;2016-05-16;2016-06-17;2016-07-07;;1
Bonden-4-2016-3;1;2016-05-18;2016-06-20;2016-07-09;;1
Bonden-2-2016-1;1;2016-05-18;2016-06-16;2016-07-06;;1
