Date;Video time;Individual;Egg/Chick underneath (Y/N);Sun/Shade/Both;Temp;Panting;Raised shoulders;Orientation towards sun;All;Comments;;;;;;;;;;;;;;;;;;;;;;;;
27.06.20;18:24:00;4;Y;Sun;45,1;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
27.06.20;18:24:00;5;N;Sun;45,1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;
25.06.20;18:04:00;1;Y;Both;44,4;0;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
25.06.20;18:04:00;2;Y;Sun;44,4;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
25.06.20;18:04:00;3;Y;Sun;44,4;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
25.06.20;18:04:00;4;Y;Sun;44,4;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
25.06.20;18:04:00;5;Y;Sun;44,4;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
25.06.20;18:04:00;6;Y;Sun;44,4;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
26.06.20;19:26:00;1;Y;Sun;43,9;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
26.06.20;19:26:00;2;Y;Sun;43,9;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
26.06.20;19:26:00;3;Y;Sun;43,9;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
26.06.20;19:26:00;4;Y;Sun;43,9;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
26.06.20;19:26:00;5;Y;Sun;43,9;0;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
26.06.20;19:26:00;6;Y;Sun;43,9;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
26.06.20;19:30:00;1;Y;Sun;43,6;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;
26.06.20;19:30:00;2;Y;Sun;43,6;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
26.06.20;19:30:00;3;Y;Sun;43,6;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
26.06.20;19:30:00;4;Y;Sun;43,6;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
26.06.20;19:30:00;5;Y;Sun;43,6;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
26.06.20;19:30:00;6;Y;Sun;43,6;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
26.06.20;19:40:00;1;Y;Sun;43,5;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
26.06.20;19:40:00;2;Y;Sun;43,5;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
26.06.20;19:40:00;3;Y;Sun;43,5;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
26.06.20;19:40:00;4;Y;Sun;43,5;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
26.06.20;19:40:00;5;Y;Sun;43,5;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
26.06.20;19:40:00;6;Y;Sun;43,5;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
27.06.20;16:48:00;1;Y;Both;43,4;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
27.06.20;16:48:00;2;Y;Sun;43,4;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
27.06.20;16:48:00;3;Y;Sun;43,4;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
27.06.20;16:48:00;4;Y;Sun;43,4;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
27.06.20;16:48:00;5;Y;Sun;43,4;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
27.06.20;16:48:00;6;Y;Sun;43,4;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
26.06.20;17:18:00;1;N;Sun;43,3;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
26.06.20;17:18:00;2;Y;Both;43,3;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
26.06.20;17:18:00;3;Y;Sun;43,3;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
26.06.20;17:18:00;4;Y;Sun;43,3;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
26.06.20;17:18:00;5;N;Sun;43,3;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;
26.06.20;17:18:00;6;Y;Sun;43,3;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
26.06.20;17:18:00;7;N;Sun;43,3;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
26.06.20;17:18:00;8;Y;Sun;43,3;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
26.06.20;17:18:00;9;Y;Sun;43,3;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
26.06.20;19:20:00;1;Y;Sun;43,2;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
26.06.20;19:20:00;2;Y;Sun;43,2;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
26.06.20;19:20:00;3;Y;Sun;43,2;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
26.06.20;19:20:00;4;Y;Sun;43,2;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
26.06.20;19:20:00;5;N;Sun;43,2;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;
26.06.20;19:20:00;6;Y;Sun;43,2;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
26.06.20;18:36:00;1;N;Sun;43;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;
26.06.20;18:36:00;2;Y;Sun;43;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
26.06.20;18:36:00;3;Y;Sun;43;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
26.06.20;18:36:00;4;Y;Sun;43;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
26.06.20;18:36:00;5;Y;Sun;43;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
26.06.20;18:36:00;6;Y;Sun;43;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
26.06.20;18:36:00;7;N;Sun;43;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
26.06.20;18:36:00;8;Y;Sun;43;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
25.06.20;19:42:00;1;Y;Sun;42,5;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
25.06.20;19:42:00;2;Y;Sun;42,5;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
25.06.20;19:42:00;3;Y;Sun;42,5;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
25.06.20;19:42:00;4;N;Sun;42,5;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;
25.06.20;19:42:00;5;Y;Sun;42,5;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
25.06.20;19:42:00;6;Y;Sun;42,5;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
25.06.20;19:42:00;7;Y;Sun;42,5;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;
24.06.20;17:06:00;1;Y;Both;41,8;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
24.06.20;17:06:00;2;N;Sun;41,8;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;
